X,Index,CHEMBL_ID,PUBCHEM_CID,IUPAC_Name,Original_SMILES,Original_InChi,Original_InChiKey,DSSTOX_SUBSTANCE_ID,CASRN,PREFERRED_NAME,Canonical_QSARr,InChI_Code_QSARr,InChIKey_QSARr,Salt_Solvent,Salt_Solvent_ID,QC_Level,CalculatedLogPapp,PappClass,Source,tr_tst,outliers,Envi.Che_CERAPP,Envi.Che_COMPARA,Envi.Che_CPDAT,Envi.Che_REFCHEMDB,Envi.Che_TSCA_ACTIVE_NCTI,overlap.lable
76,Caco-1427,?,?,NA,NC(=N)C1=CC=C(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(O)=O)C2CCCCC2)C=C1,"InChI=1S/C22H31N5O4/c23-20(24)16-8-6-14(7-9-16)12-26-21(30)17-10-11-27(17)22(31)19(25-13-18(28)29)15-4-2-1-3-5-15/h6-9,15,17,19,25H,1-5,10-13H2,(H3,23,24)(H,26,30)(H,28,29)/t17-,19+/m0/s1",DKWNMCUOEDMMIN-PKOBYXMFSA-N,DTXSID30166724,159776-70-2,melagatran,NC(=N)C1=CC=C(CNC(=O)C2CCN2C(=O)C(NCC(O)=O)C2CCCCC2)C=C1,"InChI=1S/C22H31N5O4/c23-20(24)16-8-6-14(7-9-16)12-26-21(30)17-10-11-27(17)22(31)19(25-13-18(28)29)15-4-2-1-3-5-15/h6-9,15,17,19,25H,1-5,10-13H2,(H3,23,24)(H,26,30)(H,28,29)",DKWNMCUOEDMMIN-UHFFFAOYSA-N,<undefined>,0,High,-7,1,Wang,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
139,Caco-502,?,?,NA,C[C@]12C[C@@H](O)[C@H]3[C@@H](CC[C@]4(O)C[C@H](C[C@@H](O)[C@@]43CO)O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@]1(O)CC[C@@H]2C1COC(=O)C=1,"InChI=1S/C29H44O12/c1-13-22(34)23(35)24(36)25(40-13)41-15-8-19(32)28(12-30)21-17(3-5-27(28,37)9-15)29(38)6-4-16(14-7-20(33)39-11-14)26(29,2)10-18(21)31/h7,13,15-19,21-25,30-32,34-38H,3-6,8-12H2,1-2H3/t13-,15-,16+,17+,18+,19+,21+,22-,23+,24+,25-,26+,27-,28+,29-/m0/s1",LPMXVESGRSUGHW-HBYQJFLCSA-N,DTXSID0043765,630-60-4,ouabain,CC12CC(O)C3C(CCC4(O)CC(CC(O)C43CO)OC3OC(C)C(O)C(O)C3O)C1(O)CCC2C1COC(=O)C=1,"InChI=1S/C29H44O12/c1-13-22(34)23(35)24(36)25(40-13)41-15-8-19(32)28(12-30)21-17(3-5-27(28,37)9-15)29(38)6-4-16(14-7-20(33)39-11-14)26(29,2)10-18(21)31/h7,13,15-19,21-25,30-32,34-38H,3-6,8-12H2,1-2H3",LPMXVESGRSUGHW-UHFFFAOYSA-N,<undefined>,0,High,-6.9596517,1,Wang|Pham,1,1,N,Y,Y,Y,Y,N&Y&Y&Y&Y
152,Caco-6013,?,?,NA,CCOC(=O)[C@H](CCC1C=CC=CC=1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O,"InChI=1S/C24H28N2O5/c1-2-31-24(30)20(14-12-17-8-4-3-5-9-17)25-19-15-13-18-10-6-7-11-21(18)26(23(19)29)16-22(27)28/h3-11,19-20,25H,2,12-16H2,1H3,(H,27,28)/t19-,20-/m0/s1",XPCFTKFZXHTYIP-PMACEKPBSA-N,DTXSID5022645,86541-75-5,benazepril,CCOC(=O)C(CCC1C=CC=CC=1)NC1CCC2=CC=CC=C2N(CC(O)=O)C1=O,"InChI=1S/C24H28N2O5/c1-2-31-24(30)20(14-12-17-8-4-3-5-9-17)25-19-15-13-18-10-6-7-11-21(18)26(23(19)29)16-22(27)28/h3-11,19-20,25H,2,12-16H2,1H3,(H,27,28)",XPCFTKFZXHTYIP-UHFFFAOYSA-N,<undefined>,NA,Low,-6.89,1,Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
156,Caco-1429,?,?,NA,OC(COC1=CC=CC2OC(=CC(=O)C=21)C(O)=O)COC1=CC=CC2OC(=CC(=O)C=21)C(O)=O,"InChI=1S/C23H16O11/c24-11(9-31-14-3-1-5-16-20(14)12(25)7-18(33-16)22(27)28)10-32-15-4-2-6-17-21(15)13(26)8-19(34-17)23(29)30/h1-8,11,24H,9-10H2,(H,27,28)(H,29,30)",IMZMKUWMOSJXDT-UHFFFAOYSA-N,DTXSID4022860,16110-51-3,cromolyn,OC(COC1=CC=CC2OC(=CC(=O)C=21)C(O)=O)COC1=CC=CC2OC(=CC(=O)C=21)C(O)=O,"InChI=1S/C23H16O11/c24-11(9-31-14-3-1-5-16-20(14)12(25)7-18(33-16)22(27)28)10-32-15-4-2-6-17-21(15)13(26)8-19(34-17)23(29)30/h1-8,11,24H,9-10H2,(H,27,28)(H,29,30)",IMZMKUWMOSJXDT-UHFFFAOYSA-N,<undefined>,0,High,-6.8860564,1,Wang,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
163,Caco-6198,?,?,NA,CC1(C)S[C@@H]2[C@H](NC(=O)COC3C=CC=CC=3)C(=O)N2[C@H]1C(O)=O,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12+,14-/m1/s1",BPLBGHOLXOTWMN-MBNYWOFBSA-N,DTXSID3023429,8/1/1987,penicillin v,CC1(C)SC2C(NC(=O)COC3C=CC=CC=3)C(=O)N2C1C(O)=O,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24-16)17-10(19)8-23-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)",BPLBGHOLXOTWMN-UHFFFAOYSA-N,<undefined>,NA,Low,-6.85,1,Pham,1,0,N,Y,Y,Y,N,N&Y&Y&Y&N
165,Caco-1788,CHEMBL1472,?,NA,NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1,"InChI=1S/C16H22N6O4/c17-14(24)12-2-1-5-22(12)16(26)11(6-9-7-18-8-19-9)21-15(25)10-3-4-13(23)20-10/h7-8,10-12H,1-6H2,(H2,17,24)(H,18,19)(H,20,23)(H,21,25)/t10-,11-,12-/m0/s1",XNSAINXGIQZQOO-SRVKXCTJSA-N,DTXSID0023533,24305-27-9,TSH-releasing hormone,NC(=O)C1CCCN1C(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1,"InChI=1S/C16H22N6O4/c17-14(24)12-2-1-5-22(12)16(26)11(6-9-7-18-8-19-9)21-15(25)10-3-4-13(23)20-10/h7-8,10-12H,1-6H2,(H2,17,24)(H,18,19)(H,20,23)(H,21,25)",XNSAINXGIQZQOO-UHFFFAOYSA-N,<undefined>,NA,High,-6.832682665,1,CHEMBL,1,0,N,Y,Y,Y,N,N&Y&Y&Y&N
171,Caco-901,?,?,NA,C[C@@H]1O[C@@H](O[C@H]2[C@H](OC3C=C(O)C4C(=O)C[C@H](OC=4C=3)C3C=CC(O)=CC=3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3/t10-,16-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",DFPMSGMNTNDNHN-ZPHOTFPESA-N,DTXSID6022478,10236-47-2,naringin,CC1OC(OC2C(OC3C=C(O)C4C(=O)CC(OC=4C=3)C3C=CC(O)=CC=3)OC(CO)C(O)C2O)C(O)C(O)C1O,"InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3",DFPMSGMNTNDNHN-UHFFFAOYSA-N,<undefined>,0,High,-6.8200002,1,Wang,1,1,N,Y,Y,Y,Y,N&Y&Y&Y&Y
186,Caco-1813,CHEMBL453904,?,NA,[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=CC=C1O)C1(OC(=O)C2C1=C(Br)C(Br)=C(Br)C=2Br)C1C=C(C(O)=CC=1)S([O-])(=O)=O,"InChI=1S/C20H10Br4O10S2.2Na/c21-15-13-14(16(22)18(24)17(15)23)20(34-19(13)27,7-1-3-9(25)11(5-7)35(28,29)30)8-2-4-10(26)12(6-8)36(31,32)33;;/h1-6,25-26H,(H,28,29,30)(H,31,32,33);;/q;2*+1/p-2",GHAFORRTMVIXHS-UHFFFAOYSA-L,DTXSID9023621,71-67-0,Sulfobromophthalein,OC1C=CC(=CC=1S(O)(=O)=O)C1(OC(=O)C2=C1C(Br)=C(Br)C(Br)=C2Br)C1C=C(C(O)=CC=1)S(O)(=O)=O,"InChI=1S/C20H10Br4O10S2/c21-15-13-14(16(22)18(24)17(15)23)20(34-19(13)27,7-1-3-9(25)11(5-7)35(28,29)30)8-2-4-10(26)12(6-8)36(31,32)33/h1-6,25-26H,(H,28,29,30)(H,31,32,33)",OHTXTCNTQJFRIG-UHFFFAOYSA-N,[Na+],NA,High,-6.732828272,1,CHEMBL,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
192,Caco-1431,?,?,NA,OC1C=CC(=CC=1)OCC(O)CNCCNC(=O)N1CCOCC1,"InChI=1S/C16H25N3O5/c20-13-1-3-15(4-2-13)24-12-14(21)11-17-5-6-18-16(22)19-7-9-23-10-8-19/h1-4,14,17,20-21H,5-12H2,(H,18,22)",DXPOSRCHIDYWHW-UHFFFAOYSA-N,DTXSID8045222,81801-12-9,xamoterol,OC1C=CC(=CC=1)OCC(O)CNCCNC(=O)N1CCOCC1,"InChI=1S/C16H25N3O5/c20-13-1-3-15(4-2-13)24-12-14(21)11-17-5-6-18-16(22)19-7-9-23-10-8-19/h1-4,14,17,20-21H,5-12H2,(H,18,22)",DXPOSRCHIDYWHW-UHFFFAOYSA-N,<undefined>,0,High,-6.71948325,1,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
250,Caco-21,?,?,NA,C[C@@H]1O[C@@H](O[C@H]2[C@H](OC(=O)/C=C/C3=CC(O)=C(O)C=C3)[C@@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O[C@@H](OCCC3C=C(O)C(O)=CC=3)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C35H46O20/c1-14-24(42)26(44)29(47)35(51-14)55-32-30(48)34(49-9-8-16-3-6-18(38)20(40)11-16)53-22(13-50-33-28(46)27(45)25(43)21(12-36)52-33)31(32)54-23(41)7-4-15-2-5-17(37)19(39)10-15/h2-7,10-11,14,21-22,24-40,42-48H,8-9,12-13H2,1H3/b7-4+/t14-,21+,22+,24-,25+,26+,27-,28+,29+,30+,31+,32+,33+,34+,35-/m0/s1",FSBUXLDOLNLABB-ISAKITKMSA-N,DTXSID0033469,82854-37-3,echinacoside,CC1OC(OC2C(OC(=O)C=CC3=CC(O)=C(O)C=C3)C(COC3OC(CO)C(O)C(O)C3O)OC(OCCC3C=C(O)C(O)=CC=3)C2O)C(O)C(O)C1O,"InChI=1S/C35H46O20/c1-14-24(42)26(44)29(47)35(51-14)55-32-30(48)34(49-9-8-16-3-6-18(38)20(40)11-16)53-22(13-50-33-28(46)27(45)25(43)21(12-36)52-33)31(32)54-23(41)7-4-15-2-5-17(37)19(39)10-15/h2-7,10-11,14,21-22,24-40,42-48H,8-9,12-13H2,1H3",FSBUXLDOLNLABB-UHFFFAOYSA-N,<undefined>,0,High,-6.6500001,1,Wang,1,1,N,N,Y,Y,N,N&N&Y&Y&N
251,Caco-1123,?,?,NA,C[C@](N)(CC1C=C(O)C(O)=CC=1)C(O)=O,"InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)/t10-/m0/s1",CJCSPKMFHVPWAR-JTQLQIEISA-N,DTXSID5023295,555-30-6,methyldopa,CC(N)(CC1C=C(O)C(O)=CC=1)C(O)=O,"InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)",CJCSPKMFHVPWAR-UHFFFAOYSA-N,<undefined>,0,High,-6.619894,1,Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
257,Caco-1905,CHEMBL1460|?,?,NA,OC[C@@H]1CC[C@@H](O1)N1C=NC2C(=O)NC=NC1=2,"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1",BXZVVICBKDXVGW-NKWVEPMBSA-N,DTXSID6022927,69655-05-6,"2',3'-Dideoxyinosine",OCC1CCC(O1)N1C=NC2C(=O)NC=NC1=2,"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)",BXZVVICBKDXVGW-UHFFFAOYSA-N,<undefined>,NA,High,-6.601029996,1,CHEMBL|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
258,Caco-1146,?,?,NA,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=C(C=CC=C3C(=O)C1=C2O)OC)C(=O)CO,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/t10-,13-,15-,17-,22+,27-/m0/s1",AOJJSUZBOXZQNB-TZSSRYMLSA-N,DTXSID8021480,23214-92-8,doxorubicin,CC1OC(CC(N)C1O)OC1CC(O)(CC2=C1C(O)=C1C(=O)C3=C(C=CC=C3C(=O)C1=C2O)OC)C(=O)CO,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3",AOJJSUZBOXZQNB-UHFFFAOYSA-N,<undefined>,0,High,-6.59603,1,Wang,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
316,Caco-6242,?,?,NA,CC(C)(C)NCC(O)C1C=C(CO)C(O)=CC=1,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",NDAUXUAQIAJITI-UHFFFAOYSA-N,DTXSID5021255,18559-94-9,Albuterol,CC(C)(C)NCC(O)C1C=C(CO)C(O)=CC=1,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",NDAUXUAQIAJITI-UHFFFAOYSA-N,<undefined>,NA,Low,-6.52,1,Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
318,Caco-2408,CHEMBL914|?,?,NA,CC(C)(C1C=CC(=CC=1)C(O)CCCN1CCC(CC1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1)C(O)=O,"InChI=1S/C32H39NO4/c1-31(2,30(35)36)25-17-15-24(16-18-25)29(34)14-9-21-33-22-19-28(20-23-33)32(37,26-10-5-3-6-11-26)27-12-7-4-8-13-27/h3-8,10-13,15-18,28-29,34,37H,9,14,19-23H2,1-2H3,(H,35,36)",RWTNPBWLLIMQHL-UHFFFAOYSA-N,DTXSID00861411,83799-24-0,Fexofenadine,CC(C)(C1C=CC(=CC=1)C(O)CCCN1CCC(CC1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1)C(O)=O,"InChI=1S/C32H39NO4/c1-31(2,30(35)36)25-17-15-24(16-18-25)29(34)14-9-21-33-22-19-28(20-23-33)32(37,26-10-5-3-6-11-26)27-12-7-4-8-13-27/h3-8,10-13,15-18,28-29,34,37H,9,14,19-23H2,1-2H3,(H,35,36)",RWTNPBWLLIMQHL-UHFFFAOYSA-N,<undefined>,0,High,-6.5100002,1,CHEMBL|Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
